SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG_2020,NPOPCHG_2021,PPOPCHG_2020,PPOPCHG_2021,NRANK_ESTBASE2020,NRANK_POPEST2020,NRANK_POPEST2021,NRANK_NPCHG2020,NRANK_NPCHG2021,NRANK_PPCHG2020,NRANK_PPCHG2021
010,0,0,00,United States,331449281,331501080,331893745,51799,392665,0.0156280321,0.1184505945,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,57609148,57525633,57159838,-83515,-365795,-0.144968296,-0.635881747,4,4,4,4,4,4,4
020,2,0,00,Midwest Region,68985454,68935174,68841444,-50280,-93730,-0.07288493,-0.135968323,3,3,3,3,3,3,3
020,3,0,00,South Region,126266107,126409007,127225329,142900,816322,0.1131736801,0.6457783503,1,1,1,1,1,1,1
020,4,0,00,West Region,78588572,78631266,78667134,42694,35868,0.0543259648,0.0456154426,2,2,2,2,2,2,2
040,3,6,01,Alabama,5024279,5024803,5039877,524,15074,0.0104293571,0.2999918604,24,24,24,21,16,23,20
040,4,9,02,Alaska,733391,732441,732673,-950,232,-0.129535268,0.0316749062,48,48,48,32,32,44,32
040,4,8,04,Arizona,7151502,7177986,7276316,26484,98330,0.3703277997,1.3698828613,14,14,14,3,3,2,4
040,3,7,05,Arkansas,3011524,3012232,3025891,708,13659,0.0235096914,0.4534511286,33,33,33,17,18,20,19
040,4,9,06,California,39538223,39499738,39237836,-38485,-261902,-0.09733619,-0.663047436,1,1,1,50,50,39,47
040,4,8,08,Colorado,5773714,5784308,5812069,10594,27761,0.183486747,0.4799364073,21,21,21,8,11,8,17
040,1,1,09,Connecticut,3605944,3600260,3605597,-5684,5337,-0.157628627,0.1482392938,29,29,29,42,25,47,25
040,3,5,10,Delaware,989948,991886,1003384,1938,11498,0.1957678585,1.1592057958,45,45,45,16,19,7,6
040,3,5,11,District of Columbia,689545,690093,670050,548,-20043,0.0794726958,-2.904391147,49,49,49,20,45,16,51
040,3,5,12,Florida,21538187,21569932,21781128,31745,211196,0.1473893787,0.9791222337,3,3,3,2,2,12,8
040,3,5,13,Georgia,10711908,10725800,10799566,13892,73766,0.1296874469,0.6877435716,8,8,8,5,5,14,15
040,4,9,15,Hawaii,1455271,1451911,1441553,-3360,-10358,-0.230884832,-0.71340461,40,40,40,38,41,51,48
040,4,8,16,Idaho,1839106,1847772,1900923,8666,53151,0.4712072061,2.8764912554,38,38,38,12,9,1,1
040,2,3,17,Illinois,12812508,12785245,12671469,-27263,-113776,-0.212784257,-0.889900819,6,6,6,49,49,48,49
040,2,3,18,Indiana,6785528,6785644,6805985,116,20341,0.0017095206,0.2997652102,17,17,17,25,13,26,21
040,2,4,19,Iowa,3190369,3188669,3193079,-1700,4410,-0.053285372,0.1383022195,31,31,31,35,27,33,26
040,2,4,20,Kansas,2937880,2935880,2934582,-2000,-1298,-0.0680763,-0.044211616,35,35,35,37,35,34,34
040,3,6,21,Kentucky,4505836,4503958,4509394,-1878,5436,-0.04167928,0.1206938431,26,26,26,36,24,32,27
040,3,7,22,Louisiana,4657757,4651203,4624047,-6554,-27156,-0.140711506,-0.583848953,25,25,25,43,47,45,46
040,1,1,23,Maine,1362359,1362280,1372247,-79,9967,-0.005798765,0.7316410723,42,42,42,28,22,28,14
040,3,5,24,Maryland,6177224,6172679,6165129,-4545,-7550,-0.073576739,-0.12231318,18,18,19,41,40,35,38
040,1,1,25,Massachusetts,7029917,7022220,6984723,-7697,-37497,-0.109489202,-0.533976435,15,15,15,44,48,43,45
