Year,Game #,Date,Time,Round,Stadium,City,Country,Team,Team G,Opponent,Opponent G,Observation
1930,1,13-Jul-30, 15:00 ,Group 1,Pocitos,Montevideo ,Uruguay,France,4,Mexico,1, 
1930,1,13-Jul-30, 15:00 ,Group 1,Pocitos,Montevideo ,Uruguay,Mexico,1,France,4, 
1930,2,13-Jul-30, 15:00 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,Belgium,0, 
1930,2,13-Jul-30, 15:00 ,Group 4,Parque Central,Montevideo ,Uruguay,Belgium,0,USA,3, 
1930,3,14-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,2,Brazil,1, 
1930,3,14-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Brazil,1,Yugoslavia,2, 
1930,4,14-Jul-30, 14:50 ,Group 3,Pocitos,Montevideo ,Uruguay,Romania,3,Peru,1, 
1930,4,14-Jul-30, 14:50 ,Group 3,Pocitos,Montevideo ,Uruguay,Peru,1,Romania,3, 
1930,5,15-Jul-30, 16:00 ,Group 1,Parque Central,Montevideo ,Uruguay,Argentina,1,France,0, 
1930,5,15-Jul-30, 16:00 ,Group 1,Parque Central,Montevideo ,Uruguay,France,0,Argentina,1, 
1930,6,16-Jul-30, 14:45 ,Group 1,Parque Central,Montevideo ,Uruguay,Chile,3,Mexico,0, 
1930,6,16-Jul-30, 14:45 ,Group 1,Parque Central,Montevideo ,Uruguay,Mexico,0,Chile,3, 
1930,7,17-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,4,Bolivia,0, 
1930,7,17-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Bolivia,0,Yugoslavia,4, 
1930,8,17-Jul-30, 14:45 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,Paraguay,0, 
1930,8,17-Jul-30, 14:45 ,Group 4,Parque Central,Montevideo ,Uruguay,Paraguay,0,USA,3, 
1930,9,18-Jul-30, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Uruguay,1,Peru,0, 
1930,9,18-Jul-30, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Peru,0,Uruguay,1, 
1930,10,19-Jul-30, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Chile,1,France,0, 
1930,10,19-Jul-30, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,France,0,Chile,1, 
1930,11,19-Jul-30, 15:00 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Argentina,6,Mexico,3, 
1930,11,19-Jul-30, 15:00 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Mexico,3,Argentina,6, 
1930,12,20-Jul-30, 13:00 ,Group 2,Estadio Centenario,Montevideo ,Uruguay,Brazil,4,Bolivia,0, 
1930,12,20-Jul-30, 13:00 ,Group 2,Estadio Centenario,Montevideo ,Uruguay,Bolivia,0,Brazil,4, 
1930,13,20-Jul-30, 15:00 ,Group 4,Estadio Centenario,Montevideo ,Uruguay,Paraguay,1,Belgium,0, 
1930,13,20-Jul-30, 15:00 ,Group 4,Estadio Centenario,Montevideo ,Uruguay,Belgium,0,Paraguay,1, 
1930,14,21-Jul-30, 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Uruguay,4,Romania,0, 
1930,14,21-Jul-30, 14:50 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Romania,0,Uruguay,4, 
1930,15,22-Jul-30, 14:45 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Argentina,3,Chile,1, 
1930,15,22-Jul-30, 14:45 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Chile,1,Argentina,3, 
1930,16,26-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,Argentina,6,USA,1, 
1930,16,26-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,USA,1,Argentina,6, 
1930,17,27-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,Uruguay,6,Yugoslavia,1, 
1930,17,27-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,Yugoslavia,1,Uruguay,6, 
1930,18,30-Jul-30, 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,Uruguay,4,Argentina,2, 
1930,18,30-Jul-30, 14:15 ,Final,Estadio Centenario,Montevideo ,Uruguay,Argentina,2,Uruguay,4, 
1934,19,27-May-34, 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Italy,Austria,3,France,2,Austria win after extra time 
1934,19,27-May-34, 16:30 ,Preliminary round,Stadio Benito Mussolini,Turin ,Italy,France,2,Austria,3,Austria win after extra time 
1934,20,27-May-34, 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Italy,Hungary,4,Egypt,2, 
1934,20,27-May-34, 16:30 ,Preliminary round,Giorgio Ascarelli,Naples ,Italy,Egypt,2,Hungary,4, 
1934,21,27-May-34, 16:30 ,Preliminary round,San Siro,Milan ,Italy,Switzerland,3,Netherlands,2, 
1934,21,27-May-34, 16:30 ,Preliminary round,San Siro,Milan ,Italy,Netherlands,2,Switzerland,3, 
1934,22,27-May-34, 16:30 ,Preliminary round,Littorale,Bologna ,Italy,Sweden,3,Argentina,2, 
1934,22,27-May-34, 16:30 ,Preliminary round,Littorale,Bologna ,Italy,Argentina,2,Sweden,3, 
1934,23,27-May-34, 16:30 ,Preliminary round,Giovanni Berta,Florence ,Italy,Germany,5,Belgium,2, 
1934,23,27-May-34, 16:30 ,Preliminary round,Giovanni Berta,Florence ,Italy,Belgium,2,Germany,5, 
1934,24,27-May-34, 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Italy,Spain,3,Brazil,1, 
1934,24,27-May-34, 16:30 ,Preliminary round,Luigi Ferraris,Genoa ,Italy,Brazil,1,Spain,3, 
1934,25,27-May-34, 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,Italy,7,USA,1, 
1934,25,27-May-34, 16:30 ,Preliminary round,Nazionale PNF,Rome ,Italy,USA,1,Italy,7, 
1934,26,27-May-34, 16:30 ,Preliminary round,Littorio,Trieste ,Italy,Czechoslovakia,2,Romania,1, 
1934,26,27-May-34, 16:30 ,Preliminary round,Littorio,Trieste ,Italy,Romania,1,Czechoslovakia,2, 
1934,27,31-May-34, 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Italy,Czechoslovakia,3,Switzerland,2, 
1934,27,31-May-34, 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Italy,Switzerland,2,Czechoslovakia,3, 
1934,28,31-May-34, 16:30 ,Quarter-finals,San Siro,Milan ,Italy,Germany,2,Sweden,1, 
1934,28,31-May-34, 16:30 ,Quarter-finals,San Siro,Milan ,Italy,Sweden,1,Germany,2, 
1934,29,31-May-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,Italy,1,Spain,1, 
1934,29,31-May-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,Spain,1,Italy,1, 
1934,30,31-May-34, 16:30 ,Quarter-finals,Littorale,Bologna ,Italy,Austria,2,Hungary,1, 
1934,30,31-May-34, 16:30 ,Quarter-finals,Littorale,Bologna ,Italy,Hungary,1,Austria,2, 
1934,31,1-Jun-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,Italy,1,Spain,0, 
1934,31,1-Jun-34, 16:30 ,Quarter-finals,Giovanni Berta,Florence ,Italy,Spain,0,Italy,1, 
1934,32,3-Jun-34, 16:30 ,Semi-finals,San Siro,Milan ,Italy,Italy,1,Austria,0, 
1934,32,3-Jun-34, 16:30 ,Semi-finals,San Siro,Milan ,Italy,Austria,0,Italy,1, 
1934,33,3-Jun-34, 16:30 ,Semi-finals,Nazionale PNF,Rome ,Italy,Czechoslovakia,3,Germany,1, 
1934,33,3-Jun-34, 16:30 ,Semi-finals,Nazionale PNF,Rome ,Italy,Germany,1,Czechoslovakia,3, 
1934,34,7-Jun-34, 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Italy,Germany,3,Austria,2, 
1934,34,7-Jun-34, 18:00 ,Match for third place,Giorgio Ascarelli,Naples ,Italy,Austria,2,Germany,3, 
1934,35,10-Jun-34, 17:30 ,Final,Nazionale PNF,Rome ,Italy,Italy,2,Czechoslovakia,1,Italy win after extra time 
1934,35,10-Jun-34, 17:30 ,Final,Nazionale PNF,Rome ,Italy,Czechoslovakia,1,Italy,2,Italy win after extra time 
1938,36,4-Jun-38, 17:00 ,First round,Parc des Princes,Paris ,France,Switzerland,1,Germany,1, 
1938,36,4-Jun-38, 17:00 ,First round,Parc des Princes,Paris ,France,Germany,1,Switzerland,1, 
1938,37,5-Jun-38, 17:00 ,First round,Velodrome Municipale,Reims ,France,Hungary,6,Dutch East Indies,0, 
1938,37,5-Jun-38, 17:00 ,First round,Velodrome Municipale,Reims ,France,Dutch East Indies,0,Hungary,6, 
1938,38,5-Jun-38, 17:00 ,First round,Stade Olympique,Colombes ,France,France,3,Belgium,1, 
1938,38,5-Jun-38, 17:00 ,First round,Stade Olympique,Colombes ,France,Belgium,1,France,3, 
1938,39,5-Jun-38, 17:00 ,First round,Stade Municipal,Toulouse ,France,Cuba,3,Romania,3, 
1938,39,5-Jun-38, 17:00 ,First round,Stade Municipal,Toulouse ,France,Romania,3,Cuba,3, 
1938,40,5-Jun-38, 17:00 ,First round,Stade Vï¿½lodrome,Marseilles ,France,Italy,2,Norway,1,Italy win after extra time 
1938,40,5-Jun-38, 17:00 ,First round,Stade Vï¿½lodrome,Marseilles ,France,Norway,1,Italy,2,Italy win after extra time 
1938,41,5-Jun-38, 17:30 ,First round,Stade de la Meinau,Strasbourg ,France,Brazil,6,Poland,5,Brazil win after extra time 
